year,month,city,temperature,rainfall_mm,date
1960,1,Mumbai,19.6,147.23,1960-01-01
1960,2,Mumbai,20.85,158.5,1960-02-01
1960,3,Mumbai,22.72,115.32,1960-03-01
1960,4,Mumbai,28.9,143.39,1960-04-01
1960,5,Mumbai,30.44,160.85,1960-05-01
1960,6,Mumbai,33.37,170.69,1960-06-01
1960,7,Mumbai,35.29,171.73,1960-07-01
1960,8,Mumbai,31.86,220.72,1960-08-01
1960,9,Mumbai,29.78,246.28,1960-09-01
1960,10,Mumbai,25.91,203.72,1960-10-01
1960,11,Mumbai,24.76,205.48,1960-11-01
1960,12,Mumbai,20.15,151.51,1960-12-01
1961,1,Mumbai,18.36,152.22,1961-01-01
1961,2,Mumbai,18.71,135.55,1961-02-01
1961,3,Mumbai,22.3,114.17,1961-03-01
1961,4,Mumbai,26.3,165.08,1961-04-01
1961,5,Mumbai,31.0,128.85,1961-05-01
1961,6,Mumbai,34.93,155.58,1961-06-01
1961,7,Mumbai,35.27,170.81,1961-07-01
1961,8,Mumbai,32.35,235.9,1961-08-01
1961,9,Mumbai,31.9,243.43,1961-09-01
1961,10,Mumbai,26.88,225.94,1961-10-01
1961,11,Mumbai,21.24,195.6,1961-11-01
1961,12,Mumbai,19.54,201.14,1961-12-01
1962,1,Mumbai,19.45,114.74,1962-01-01
1962,2,Mumbai,20.5,120.34,1962-02-01
1962,3,Mumbai,22.22,132.23,1962-03-01
1962,4,Mumbai,28.27,146.66,1962-04-01
1962,5,Mumbai,30.03,143.82,1962-05-01
1962,6,Mumbai,34.36,199.51,1962-06-01
1962,7,Mumbai,34.46,206.29,1962-07-01
1962,8,Mumbai,32.64,208.04,1962-08-01
1962,9,Mumbai,32.01,267.12,1962-09-01
1962,10,Mumbai,26.95,252.03,1962-10-01
1962,11,Mumbai,23.47,197.1,1962-11-01
1962,12,Mumbai,20.54,210.76,1962-12-01
1963,1,Mumbai,19.01,181.29,1963-01-01
1963,2,Mumbai,16.98,144.48,1963-02-01
1963,3,Mumbai,23.16,114.02,1963-03-01
1963,4,Mumbai,27.16,88.29,1963-04-01
1963,5,Mumbai,30.79,157.14,1963-05-01
1963,6,Mumbai,35.76,169.63,1963-06-01
1963,7,Mumbai,34.08,199.96,1963-07-01
1963,8,Mumbai,35.08,238.54,1963-08-01
1963,9,Mumbai,30.42,250.27,1963-09-01
1963,10,Mumbai,27.17,251.33,1963-10-01
1963,11,Mumbai,22.21,203.45,1963-11-01
1963,12,Mumbai,19.66,150.73,1963-12-01
1964,1,Mumbai,19.43,155.22,1964-01-01
1964,2,Mumbai,20.15,123.35,1964-02-01
